# Key,# English,,
-,-,,
@ACH_NAME_BATTLE_TESTED,Battle Tested,,
@ACH_NAME_BATTLE_VETERAN,Battle Veteran,,
@ACH_NAME_BUG_STOMPER,Bug Stomper,,
@ACH_NAME_FIRST_BLOOD,First Blood,,
@ACH_NAME_FIRST_VICTORY,First Victory,,
@ACH_NAME_FOUL_PLAY,Foul Play,,
@ACH_NAME_GETTING_AN_UPGRADE,Getting an Upgrade,,
@ACH_NAME_IMPATIENCE,Impatience,,
@ACH_NAME_LIVING_ON_THE_EDGE,Living on the Edge,,
@ACH_NAME_LOCUST_PLAGUE,Locus Plague,,
@ACH_NAME_PERFECT_GAME,Perfect Game,,
@ACH_NAME_ROOKIE_SQUAD,Rookie Squad,,
@ACH_NAME_TOWER_EXPERT,Tower Expert,,
@ACH_NAME_TOWER_MASTER,Tower Master,,
@ACH_NAME_TRIPLE_THREAT,Triple Threat,,
@ACHIEVEMENT_GET,Achievement get!,,
@ACHIEVEMENT_PROGRESS,Achievement Progress: %0%,,
@GAME_SUMMARY,%0 to next wave\nMoney: %1\nHealth: %2\nWave: %3,,
@HOWTOPLAY,Build towers to stop the ever-advancing wave of insects!\nPan around the map with WASD or with the middle mouse button!\n\nBuild and upgrade towers along the track!\nClick on a tower to view its stats or upgrade it!\nSend in waves early to get bonus money!\nIf too many foes make it to the end of the track,,
@PATRONS,Thank you to my Patreon supporters!\n\nAugustín Molina Uasuf,,
@TD_BUG_SPRAY_0,Spray the track with bug\nrepellent!,, 
@TD_BUG_SPRAY_1,Clouds last longer and\naffect more foes!,,
@TD_BUG_SPRAY_2,Spray much faster!,,
@TD_FIRE_BLASTER_0,Kill foes with fire!,,
@TD_FIRE_BLASTER_1,Shoots fire faster!,,
@TD_FIRE_BLASTER_2,Burn effect lasts longer!,,
@TD_MAGNIFY_0,Burn foes with the power\nof the sun!,,
@TD_MAGNIFY_1,Increased damage and\nattack radius!,,
@TD_MAGNIFY_2,Does yet more damage\nand burns foes for\ngood measure!,,
@TD_NEST_0,Call on local birds to snack\non the foes!,,
@TD_NEST_1,Birds do more damage!,,
@TD_NEST_2,Summon an fourth bird!,,
@TD_PAPER_0,Slow down the incoming\nfoes with sticky paper!,,
@TD_PAPER_1,Duration and magnitude of\nslow increased!,,
@TD_PAPER_2,Fly paper momentarily\nimmobilizes anything\nthat walks over it!,,
@TD_PEBBLE_SHOOTER_0,A basic pebble-shooting\ntower!,,
@TD_PEBBLE_SHOOTER_1,Pebble shooter damage\nincreased!,,
@TD_PEBBLE_SHOOTER_2,Shoots twice as fast!,,
@TN_BIRD_NEST,Bird Nest,,
